*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mux.2023.0.1
*Date=20:06:05
*CreatedBy=Fritzing 0.9.10b.2022-07-01.CD-2134-0-40d23c29
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;diode-1n4001;99.665;-212.316;-90;Bottom;D25
2;;diode-1n4001;235.657;-331.533;-90;Bottom;D64
3;;;142.114;-192.676;0;Bottom;Hole8
4;;;134.967;-16.0489;-90;Bottom;TCA9548
5;;diode-1n4001;32.6299;-176.593;-90;Bottom;D7
6;;to-92;163.043;-85.3927;-90;Bottom;Q34
7;12V;THT;250.157;-245.453;0;Bottom;OMRON59
8;;THT;161.697;-10.429;0;Bottom;J20
9;100k;THT;30.0572;-229.079;-90;Bottom;R10
10;100k;THT;96.6968;-298.739;90;Bottom;R30
11;;diode-1n4001;167.684;-92.3127;-90;Bottom;D34
12;12V;THT;47.1969;-73.4289;0;Bottom;OMRON1
13;12V;THT;47.2075;-312.395;0;Bottom;OMRON15
14;;diode-1n4001;99.6757;-314.442;-90;Bottom;D31
15;100k;THT;161.197;-75.2389;90;Bottom;R33
16;;to-92;231.015;-136.453;-90;Bottom;Q53
17;;THT;8.71294;-70.0559;0;Bottom;J17
18;100k;THT;29.7572;-314.879;-90;Bottom;R15
19;12V;THT;47.1969;-107.429;0;Bottom;OMRON3
20;100k;THT;96.6968;-281.239;90;Bottom;R29
21;;diode-1n4001;99.665;-75.3164;-90;Bottom;D17
22;;diode-1n4001;167.684;-229.313;-90;Bottom;D42
23;;THT;89.2369;-12.286;-90;Bottom;I2C
24;12V;THT;182.195;-313.359;0;Bottom;OMRON47
25;100k;THT;96.6968;-127.239;90;Bottom;R20
26;;diode-1n4001;167.684;-297.473;-90;Bottom;D46
27;12V;THT;47.1969;-210.429;0;Bottom;OMRON9
28;;diode-1n4001;99.6881;-143.48;-90;Bottom;D21
29;;;5.69691;-192.676;0;Bottom;Hole12
30;;to-92;163.043;-188.393;-90;Bottom;Q40
31;;;112.697;-73.4289;0;Bottom;Via2
32;12V;THT;114.165;-194.396;0;Bottom;OMRON24
33;;;282.004;-104.622;90;Bottom;TXT3
34;;THT;58.3469;-353.285;-90;Bottom;1-16
35;4.7k;THT;269.697;-46.8489;90;Bottom;R71
36;100k;THT;232.197;-197.239;90;Bottom;R56
37;;to-92;231.015;-171.453;-90;Bottom;Q55
38;;diode-1n4001;99.665;-126.316;-90;Bottom;D20
39;100k;THT;163.697;-196.739;90;Bottom;R40
40;;diode-1n4001;32.7199;-142.513;-90;Bottom;D5
41;;;5.69691;-8.42878;0;Bottom;Hole5
42;;diode-1n4001;167.684;-331.473;-90;Bottom;D48
43;;diode-1n4001;99.665;-195.316;-90;Bottom;D24
44;12V;THT;182.184;-279.393;0;Bottom;OMRON45
45;;diode-1n4001;235.667;-314.499;-90;Bottom;D63
46;;to-92;28.0558;-204.429;-90;Bottom;Q9
47;;diode-1n4001;167.707;-143.477;-90;Bottom;D37
48;;to-92;95.0238;-188.396;-90;Bottom;Q24
49;;diode-1n4001;235.657;-195.373;-90;Bottom;D56
50;100k;THT;96.6968;-110.239;90;Bottom;R19
51;12V;THT;250.157;-108.453;0;Bottom;OMRON51
52;12V;THT;47.1969;-90.4289;0;Bottom;OMRON2
53;100nF;100 mil [THT, multilayer];48.4669;-37.4289;-90;Bottom;C4
54;100k;THT;164.197;-127.739;90;Bottom;R36
55;;to-92;28.0558;-153.429;-90;Bottom;Q6
56;100k;THT;232.697;-128.239;90;Bottom;R52
57;12V;THT;47.1969;-193.429;0;Bottom;OMRON8
58;;diode-1n4001;235.657;-263.533;-90;Bottom;D60
59;;diode-1n4001;32.6069;-159.589;-90;Bottom;D6
60;;;180.654;-47.5827;0;Bottom;MCP23017-3
61;;diode-1n4001;235.657;-92.3732;-90;Bottom;D50
62;;THT;125.315;-354.253;-90;Bottom;17-32
63;;diode-1n4001;167.684;-263.473;-90;Bottom;D44
64;;diode-1n4001;99.665;-280.476;-90;Bottom;D29
65;100k;THT;29.8572;-195.079;-90;Bottom;R8
66;100k;THT;163.697;-93.7389;90;Bottom;R34
67;;to-92;28.0558;-135.429;-90;Bottom;Q5
68;12V;THT;182.184;-125.393;0;Bottom;OMRON36
69;;to-92;95.0238;-85.3963;-90;Bottom;Q18
70;;to-92;231.111;-68.7231;-90;Bottom;Q49
71;4.7k;THT;68.7769;-37.4289;0;Bottom;R70
72;100k;THT;163.697;-110.739;90;Bottom;R35
73;;to-92;231.111;-256.723;-90;Bottom;Q60
74;100nF;100 mil [THT, multilayer];182.197;-38.6589;-90;Bottom;C2
75;;;142.114;-336.429;0;Bottom;Hole9
76;;diode-1n4001;99.665;-263.476;-90;Bottom;D28
77;100k;THT;163.697;-265.239;90;Bottom;R44
78;12V;THT;114.203;-160.396;0;Bottom;OMRON22
79;;diode-1n4001;32.6969;-296.509;-90;Bottom;D14
80;100k;THT;232.197;-230.739;90;Bottom;R58
81;100k;THT;154.887;-328.429;0;Bottom;R48
82;;diode-1n4001;32.6969;-228.349;-90;Bottom;D10
83;;to-92;95.1189;-290.666;-90;Bottom;Q30
84;12V;THT;182.184;-74.3927;0;Bottom;OMRON33
85;12V;THT;114.203;-177.396;0;Bottom;OMRON23
86;;;248.627;-47.6431;0;Bottom;MCP23017-4
87;;to-92;95.0238;-171.396;-90;Bottom;Q23
88;12V;THT;250.157;-125.453;0;Bottom;OMRON52
89;100k;THT;90.3869;-315.429;0;Bottom;R31
90;12V;THT;250.157;-296.453;0;Bottom;OMRON62
91;;to-92;163.043;-102.392;-90;Bottom;Q35
92;4.7k;THT;204.197;-46.3489;90;Bottom;R65
93;100k;THT;163.697;-145.239;90;Bottom;R37
94;;;180.697;-73.4289;0;Bottom;Via3
95;;to-92;231.015;-205.453;-90;Bottom;Q57
96;;to-92;163.138;-325.662;-90;Bottom;Q48
97;;diode-1n4001;32.6969;-245.509;-90;Bottom;D11
98;100k;THT;30.0572;-212.079;-90;Bottom;R9
99;;to-92;163.138;-239.663;-90;Bottom;Q43
100;;diode-1n4001;32.6969;-211.349;-90;Bottom;D9
101;4.7k;THT;272.697;-47.0089;-90;Bottom;R72
